Month,Record high (C),Mean maximum (C),Average high (C),Daily mean (C),Average low (C),Mean minimum (C),Record Low (C),Average rainfall (mm),Average rainy days more than 0.01 in,Average Foggy days ,Wildfires,Humidity (%)
Jan,26,20.1,15,10.6,6.3,0.3,-8,75,10.2,1,10,72
Feb,27,22.9,17.1,12.3,7.4,1.7,-4,82,11.5,2,0,71
Mar,32,26.2,19.1,13.9,8.7,3.4,-4,67,9.3,3,3,73
Apr,35,29.8,21.1,15.5,9.9,5.2,-3,31,6.4,3,10,69
May,39,32.1,23.8,17.8,11.8,7.8,0,14,4,2,24,66
Jun,43,36.1,26.7,20.3,13.9,10.1,1,4.3,1.2,1,51,61
Jul,42,35,27.9,21.4,15.1,12.1,4,0.25,0.2,1,36,60
Aug,41,35.4,28.2,21.8,15.4,12.2,4,0.76,0.4,2,27,62
Sep,42,35.4,27.4,21,14.6,10.4,2,1.8,0.9,1,14,60
Oct,38,31.9,23.7,17.9,12.1,7.5,-1,20,2.7,1,9,62
Nov,29,25.3,18.3,13.4,8.4,2.7,-6,35,6.9,1,1,66
Dec,26,20,14.9,10.4,6,0.1,-7,78,10.7,1,0,71
